Code,SurveyYear,BirthYear
12,2014,1993
12,2014,1990
12,2014,1988
12,2014,1986
12,2014,1979
12,2014,1978
12,2014,1973
12,2014,1970
12,2014,1955
12,2014,1942
12,2014,1991
12,2014,1985
12,2014,1984
12,2014,1984
12,2014,1983
12,2014,1974
12,2014,1970
12,2014,1967
12,2014,1962
12,2014,1946
12,2014,1995
12,2014,1994
12,2014,1991
12,2014,1990
12,2014,1984
12,2014,1978
12,2014,1970
12,2014,1967
12,2014,1959
12,2014,1949
12,2014,1994
12,2014,1991
12,2014,1983
12,2014,1982
12,2014,1972
12,2014,1968
12,2014,1959
12,2014,1938
12,2014,1938
12,2014,1996
12,2014,1993
12,2014,1986
12,2014,1985
12,2014,1982
12,2014,1975
12,2014,1974
12,2014,1970
12,2014,1959
12,2014,1951
12,2014,1989
12,2014,1991
12,2014,1990
12,2014,1990
12,2014,1990
12,2014,1989
12,2014,1989
12,2014,1986
12,2014,1986
12,2014,1985
12,2014,1927
12,2014,1992
12,2014,1990
12,2014,1990
12,2014,1986
12,2014,1969
12,2014,1965
12,2014,1963
12,2014,1953
12,2014,1952
12,2014,1970
12,2014,1983
12,2014,1982
12,2014,1982
12,2014,1981
12,2014,1977
12,2014,1968
12,2014,1966
12,2014,1954
12,2014,1945
12,2014,1964
12,2014,1991
12,2014,1989
12,2014,1980
12,2014,1979
12,2014,1977
12,2014,1974
12,2014,1972
12,2014,1970
12,2014,1950
12,2014,1944
12,2014,1987
12,2014,1984
12,2014,1981
12,2014,1978
12,2014,1973
12,2014,1971
12,2014,1970
12,2014,1955
12,2014,1952
12,2014,1952
12,2014,1982
12,2014,1982
12,2014,1981
12,2014,1981
12,2014,1980
12,2014,1980
12,2014,1979
12,2014,1977
12,2014,1976
12,2014,1976
12,2014,1976
12,2014,1974
12,2014,1974
12,2014,1973
12,2014,1970
12,2014,1967
12,2014,1964
12,2014,1954
12,2014,1952
12,2014,1980
12,2014,1994
12,2014,1989
12,2014,1980
12,2014,1976
12,2014,1975
12,2014,1974
12,2014,1974
12,2014,1970
12,2014,1954
12,2014,1944
12,2014,1995
12,2014,1992
12,2014,1982
12,2014,1982
12,2014,1982
12,2014,1976
12,2014,1973
12,2014,1969
12,2014,1959
12,2014,1948
12,2014,1995
12,2014,1992
12,2014,1991
12,2014,1986
12,2014,1981
12,2014,1976
12,2014,1971
12,2014,1970
12,2014,1956
12,2014,1954
12,2014,1991
12,2014,1989
12,2014,1987
12,2014,1985
12,2014,1977
12,2014,1974
12,2014,1973
12,2014,1973
12,2014,1961
12,2014,1951
12,2014,1994
12,2014,1992
12,2014,1986
12,2014,1984
12,2014,1984
12,2014,1983
12,2014,1967
12,2014,1965
12,2014,1962
12,2014,1942
12,2014,1995
12,2014,1995
12,2014,1990
12,2014,1983
12,2014,1981
12,2014,1974
12,2014,1969
12,2014,1941
12,2014,1994
12,2014,1964
12,2014,1996
12,2014,1996
12,2014,1995
12,2014,1993
12,2014,1983
12,2014,1981
12,2014,1973
12,2014,1970
12,2014,1964
12,2014,1943
12,2014,1992
12,2014,1992
12,2014,1991
12,2014,1990
12,2014,1988
12,2014,1988
12,2014,1969
12,2014,1962
12,2014,1962
12,2014,1959
12,2014,1990
12,2014,1987
12,2014,1985
12,2014,1980
12,2014,1972
12,2014,1970
12,2014,1965
12,2014,1956
12,2014,1941
12,2014,1991
12,2014,1995
12,2014,1995
12,2014,1991
12,2014,1990
12,2014,1982
12,2014,1980
12,2014,1968
12,2014,1965
12,2014,1964
12,2014,1940
12,2014,1994
12,2014,1994
12,2014,1993
12,2014,1990
12,2014,1980
12,2014,1976
12,2014,1970
12,2014,1965
12,2014,1955
12,2014,1954
12,2014,1994
12,2014,1993
12,2014,1991
12,2014,1982
12,2014,1977
12,2014,1969
12,2014,1953
12,2014,1950
12,2014,1966
12,2014,1990
12,2014,1994
12,2014,1992
12,2014,1991
12,2014,1990
12,2014,1980
12,2014,1975
12,2014,1970
12,2014,1966
12,2014,1955
12,2014,1941
12,2014,1996
12,2014,1995
12,2014,1992
12,2014,1990
12,2014,1979
12,2014,1976
12,2014,1972
12,2014,1962
12,2014,1948
12,2014,1968
12,2014,1995
12,2014,1992
12,2014,1991
12,2014,1989
12,2014,1983
12,2014,1975
12,2014,1972
12,2014,1971
12,2014,1961
12,2014,1952
12,2014,1991
12,2014,1988
12,2014,1987
12,2014,1985
12,2014,1984
12,2014,1984
12,2014,1974
12,2014,1971
12,2014,1955
12,2014,1952
12,2014,1993
12,2014,1992
12,2014,1986
12,2014,1985
12,2014,1981
12,2014,1977
12,2014,1972
12,2014,1968
12,2014,1963
12,2014,1954
12,2014,1990
12,2014,1989
12,2014,1989
12,2014,1986
12,2014,1982
12,2014,1982
12,2014,1969
12,2014,1969
12,2014,1954
12,2014,1954
12,2014,1996
12,2014,1992
12,2014,1986
12,2014,1984
12,2014,1982
12,2014,1978
12,2014,1970
12,2014,1966
12,2014,1961
12,2014,1949
12,2014,1991
12,2014,1991
12,2014,1987
12,2014,1985
12,2014,1982
12,2014,1980
12,2014,1973
12,2014,1967
12,2014,1956
12,2014,1952
12,2014,1994
12,2014,1990
12,2014,1990
12,2014,1976
12,2014,1976
12,2014,1973
12,2014,1968
12,2014,1966
12,2014,1959
12,2014,1946
12,2014,1996
12,2014,1993
12,2014,1991
12,2014,1991
12,2014,1983
12,2014,1981
12,2014,1974
12,2014,1969
12,2014,1958
12,2014,1946
12,2014,1995
12,2014,1994
12,2014,1993
12,2014,1991
12,2014,1982
12,2014,1979
12,2014,1966
12,2014,1953
12,2014,1974
12,2014,1954
12,2014,1996
12,2014,1994
12,2014,1990
12,2014,1984
12,2014,1979
12,2014,1972
12,2014,1967
12,2014,1960
12,2014,1954
12,2014,1991
12,2014,1992
12,2014,1985
12,2014,1984
12,2014,1983
12,2014,1970
12,2014,1969
12,2014,1966
12,2014,1959
12,2014,1947
12,2014,1934
12,2014,1996
12,2014,1994
12,2014,1982
12,2014,1982
12,2014,1981
12,2014,1979
12,2014,1978
12,2014,1962
12,2014,1955
12,2014,1940
12,2014,1996
12,2014,1995
12,2014,1991
12,2014,1991
12,2014,1983
12,2014,1979
12,2014,1972
12,2014,1972
12,2014,1957
12,2014,1948
12,2014,1996
12,2014,1996
12,2014,1996
12,2014,1988
12,2014,1985
12,2014,1976
12,2014,1967
12,2014,1959
12,2014,1956
12,2014,1951
12,2014,1993
12,2014,1993
12,2014,1990
12,2014,1990
12,2014,1989
12,2014,1987
12,2014,1984
12,2014,1973
12,2014,1965
12,2014,1963
12,2014,1992
12,2014,1992
12,2014,1991
12,2014,1990
12,2014,1981
12,2014,1974
12,2014,1964
12,2014,1959
12,2014,1953
12,2014,1949
12,2014,1993
12,2014,1990
12,2014,1990
