Category,sellerRating,Duration,OpenPrice,ClosePrice,endDay
Automotive,10,5,50,170.5,Tue
Electronics,10,10,1.229751553,197.99,Sat
Automotive,10,5,1,70,Mon
Electronics,13,10,122.9754902,250.87,Wed
Electronics,13,7,122.9739284,278.29,Sun
Books,15,10,1.231075697,3.089999999,Sun
Music/Movie/Game,17,7,1.766933129,23.22,Thu
Music/Movie/Game,17,7,1.766914286,18.74,Thu
Music/Movie/Game,17,7,1.76697931,12.94,Thu
Music/Movie/Game,17,7,1.7676,9.819999998,Thu
Music/Movie/Game,17,7,1.767255319,8.39,Thu
Collectibles,18,7,10.70758928,31.97999999,Thu
Collectibles,18,7,2.678181818,9.819999998,Thu
Collectibles,18,7,7.14,7.14,Thu
Home/Garden,18,10,6.15,18.45,Sun
Clothing/Accessories,18,10,1.229333333,9.219999998,Sun
Automotive,18,3,4,29.5,Sat
Automotive,18,3,9.99,13,Sat
Automotive,18,3,9.99,9.99,Sat
Computer,18,7,0.99,15.51,Mon
Collectibles,19,10,1.22970297,124.2,Sat
Collectibles,20,5,0.99,103.55,Mon
Computer,21,7,5.354916066,22.33,Thu
Automotive,23,10,1.23,1.23,Wed
Computer,24,3,0.99,265,Sat
Clothing/Accessories,24,7,2.45,2.45,Sat
Electronics,27,10,1.229708738,126.66,Sun
Music/Movie/Game,28,7,10,26,Fri
Home/Garden,29,7,0.017846154,11.6,Thu
Automotive,29,5,24.99,43,Mon
Automotive,29,1,5,300,Fri
Computer,29,7,1.23,1.23,Fri
Electronics,30,3,1.229772727,270.5499999,Sun
Books,30,7,0.7,0.7,Mon
Automotive,33,7,10,91,Fri
Clothing/Accessories,37,3,1.229655172,17.82999999,Thu
Clothing/Accessories,37,3,11.06666667,49.80000002,Sat
Clothing/Accessories,37,5,1.22962963,49.80000002,Mon
Electronics,39,3,1,80,Sat
Clothing/Accessories,41,7,1.23,1.23,Thu
Clothing/Accessories,41,10,1.23,3.69,Sun
Clothing/Accessories,41,10,1.23,3.69,Sun
Clothing/Accessories,41,7,1.229638554,51.02999999,Fri
Music/Movie/Game,50,3,7.99,7.99,Sat
Music/Movie/Game,50,3,7.99,7.99,Sat
Music/Movie/Game,50,3,7.99,7.99,Sat
Music/Movie/Game,50,3,6.99,6.99,Sat
Music/Movie/Game,50,3,4.99,4.99,Sat
Electronics,50,5,1.229743996,186.38,Fri
Home/Garden,53,7,3.551384616,17.4,Thu
